IP,Subject_CN,Issuer_CN,Sig_Algo,Pubkey_Type,Pubkey_Bits,NotAfter,SAN,source
,sp.artsci.villanova.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-07-28T23:59:59,sp.artsci.villanova.edu,crtsh
,support.kcg.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-04-25T23:59:59,support.kcg.edu,crtsh
,www.uwsp.edu,"C=IL, O=StartCom Ltd., OU=Secure Digital Certificate Signing, CN=StartCom Class 1 Primary Intermediate Server CA",,,,2013-10-23T19:42:50,hostmaster@uwsp.edu;uwsp.edu;www.uwsp.edu,crtsh
,cms.feinberg.northwestern.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-09-19T23:59:59,cms.feinberg.northwestern.edu;www.feinberg.northwestern.edu,crtsh
,blue.itcom.itd.umich.edu,"C=US, ST=UT, L=Salt Lake City, O=The USERTRUST Network, OU=http://www.usertrust.com, CN=UTN-USERFirst-Hardware",,,,2013-04-08T23:59:59,blue.itcom.itd.umich.edu;www.blue.itcom.itd.umich.edu,crtsh
,den.apu.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-05-19T23:59:59,den.apu.edu,crtsh
,www.oeos.msu.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-12-04T23:59:59,www.oeos.msu.edu,crtsh
,www.westernseminary.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-09-30T23:59:59,www.westernseminary.edu,crtsh
,sera.stanford.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-10-19T23:59:59,sera.stanford.edu,crtsh
,community.franklin.edu,"C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com",,,,2013-06-29T23:59:59,community.franklin.edu,crtsh
,www.hol.edu,"C=US, O=GeoTrust Inc., OU=Domain Validated SSL, CN=GeoTrust DV SSL CA",,,,2013-11-17T19:07:21,hol.edu;www.hol.edu,crtsh
,emarq.marquette.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-10-21T13:05:01,autodiscover.marquette.edu;emarq.marquette.edu;its-exca2.marqnet.mu.edu;oldemarq.marquette.edu;owa.marquette.edu,crtsh
,geoinfo.nmt.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-04-25T23:59:59,geoinfo.nmt.edu;nmgs.nmt.edu,crtsh
,secure.ndus.nodak.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Extended Validation CA - G2",,,,2013-10-29T20:51:04,secure.ndus.nodak.edu,crtsh
,webmail.cksd.wednet.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-11-06T22:34:44,webmail.cksd.wednet.edu;www.webmail.cksd.wednet.edu,crtsh
,facstaff.education.depaul.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-03-26T15:16:16,facstaff.education.depaul.edu;www.facstaff.education.depaul.edu,crtsh
,csi-info.baylor.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-10-01T23:59:59,csi-info.baylor.edu,crtsh
,moodle.uncc.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-07-21T23:59:59,moodle.uncc.edu,crtsh
,sahana.sps.cuny.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-08-21T12:00:00,sahana.sps.cuny.edu,crtsh
,searchgiveto.osu.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-05-04T23:59:59,searchgiveto.osu.edu,crtsh
,netreg.utk.edu,"C=US, ST=UT, L=Salt Lake City, O=The USERTRUST Network, OU=http://www.usertrust.com, CN=UTN-USERFirst-Hardware",,,,2013-11-07T23:59:59,netreg.utk.edu;www.netreg.utk.edu,crtsh
,services.rods.pitt.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-08-01T23:59:59,services.rods.pitt.edu,crtsh
,webmail.caribbean.edu,"C=ES, ST=MADRID, L=MADRID, O=ips Certification Authority, OU=Certificaciones, CN=ipsCA Level 1 CA, emailAddress=ipscalevel1@ipsca.com",,,,2013-10-23T07:41:40,webmail.caribbean.edu,crtsh
,kaba.oit.ncsu.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-07-23T11:34:08,kaba.oit.ncsu.edu;www.kaba.oit.ncsu.edu,crtsh
,access.trocaire.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-10-02T12:00:00,access.trocaire.edu,crtsh
,forms-dev.banner.vt.edu,"Virginia Tech Global Server CA, OU=Global Server CA, O=Virginia Tech, C=US",,,,2013-05-09T14:53:06,edu;forms-dev.banner.vt.edu,crtsh
,scs.tamu.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-12-07T23:59:59,scs.tamu.edu,crtsh
,*.ohiochristian.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-04-01T23:59:59,admissions.ohiochristian.edu;aim.ohiochristian.edu;alumni.ohiochristian.edu;churchplantinginstitute.ohiochristian.edu;giving.ohiochristian.edu;*.ohiochristian.edu;ohiochristian.edu;store.ohiochristian.edu;www.ohiochristian.edu,crtsh
,coeus.itap.purdue.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-09-03T23:59:59,coeus.itap.purdue.edu,crtsh
,owa.bryantstratton.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-03-25T14:42:09,autodiscover.bryantstratton.edu;owa.bryantstratton.edu;www.owa.bryantstratton.edu,crtsh
,*.proxy.westernu.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-12-04T12:00:00,*.proxy.westernu.edu;proxy.westernu.edu,crtsh
,zimbra.vbi.vt.edu,"Virginia Tech Global Server CA, OU=Global Server CA, O=Virginia Tech, C=US",,,,2013-07-17T12:38:58,connect.bioinformatics.vt.edu;connection.bioinformatics.vt.edu;connection.vbi.vt.edu;connect.vbi.vt.edu;edu;imap.bioinformatics.vt.edu;imap.vbi.vt.edu;mail.bioinformatics.vt.edu;mail.vbi.vt.edu;pop3.bioinformatics.vt.edu;pop3.vbi.vt.edu;pop.bioinformatics.vt.edu;pop.vbi.vt.edu;zimbra.bioinformatics.vt.edu;zimbra.vbi.vt.edu,crtsh
,rms.housing.uga.edu,"C=US, O=GeoTrust Inc., OU=Domain Validated SSL, CN=GeoTrust DV SSL CA",,,,2013-10-15T09:39:50,rms.housing.uga.edu,crtsh
,apps.bucks.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 International Server CA - G3",,,,2013-05-17T23:59:59,apps.bucks.edu,crtsh
,www.celltypes.org,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-10-24T12:00:00,mouse.bio.brandeis.edu,crtsh
,theory.caltech.edu,"C=US, O=Equifax, OU=Equifax Secure Certificate Authority",,,,2013-09-04T20:43:18,theory.caltech.edu,crtsh
,ems.uwplatt.edu,"C=US, O=Equifax, OU=Equifax Secure Certificate Authority",,,,2013-12-22T20:40:11,ems.uwplatt.edu,crtsh
,eLearn.columbiastate.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-03-28T20:43:36,eLearn.columbiastate.edu;www.eLearn.columbiastate.edu,crtsh
,www.stmarys.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 International Server CA - G3",,,,2013-08-08T23:59:59,www.stmarys.edu,crtsh
,blogs.4j.lane.edu,"C=US, O=GeoTrust Inc., OU=Domain Validated SSL, CN=GeoTrust DV SSL CA",,,,2013-03-26T22:36:58,blogs.4j.lane.edu,crtsh
,life.umt.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-10-05T23:59:59,life.umt.edu,crtsh
,student-health.mu.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-12-03T16:29:59,student-health.mu.edu,crtsh
,mailbox.eds.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-11-26T14:31:36,mailbox.eds.edu;www.mailbox.eds.edu,crtsh
,cpeip.fsu.edu,"C=US, O=Network Solutions L.L.C., CN=Network Solutions DV Server CA",,,,2013-10-18T23:59:59,cpeip.fsu.edu,crtsh
,galaxy.ligo.caltech.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-11-18T23:59:59,galaxy.ligo.caltech.edu;www.galaxy.ligo.caltech.edu,crtsh
,ems-01.law.miami.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-07-30T23:59:59,ems-01.law.miami.edu,crtsh
,www.marygrove.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-08-15T12:00:00,marygrove.edu;www.marygrove.edu,crtsh
,events.stevens.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-04-06T23:59:59,events.stevens.edu,crtsh
,uiclient.actx.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)06, CN=VeriSign Class 3 Extended Validation SSL SGC CA",,,,2013-04-05T23:59:59,uiclient.actx.edu,crtsh
,password.csbsju.edu,"OU=Organization Validation CA, O=GlobalSign, CN=GlobalSign Organization Validation CA",,,,2013-04-29T22:26:17,password.csbsju.edu,crtsh
,mymail.student.cgu.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-08-25T23:59:59,autodiscover.cgu.edu;autodiscover.student.cgu.edu;imap.cgu.edu;imap.student.cgu.edu;mymail.cgu.edu;mymail.student.cgu.edu;pop.cgu.edu;pop.student.cgu.edu;smtp.cgu.edu;smtp.student.cgu.edu,crtsh
,join.artic.edu,"C=US, O=SecureTrust Corporation, CN=SecureTrust CA",,,,2013-07-15T19:36:11,join.artic.edu,crtsh
,apps.tamuc.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-11-08T23:59:59,apps.tamuc.edu,crtsh
,printshop.hancockcollege.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-07-19T23:59:59,printshop.hancockcollege.edu;www.printshop.hancockcollege.edu,crtsh
,*.bloomu.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-10-24T12:00:00,*.bloomu.edu;bloomu.edu;bolt.bloomu.edu,crtsh
,library.bowdoin.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-07-29T23:59:59,library.bowdoin.edu,crtsh
,www.che.udel.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-03-29T23:59:58,che.udel.edu;www.che.udel.edu,crtsh
,www.wakehealth.edu,"C=US, O=""Entrust, Inc."", OU=www.entrust.net/rpa is incorporated by reference, OU=""(c) 2009 Entrust, Inc."", CN=Entrust Certification Authority - L1C",,,,2013-06-30T14:44:11,davie.wakehealth.edu;lexington.wakehealth.edu;mlex.wakehealth.edu;m.wakehealth.edu;www.wakehealth.edu,crtsh
,ROYALL AND COMPANY,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-09-26T23:59:59,ua.ycp.edu;www.ua.ycp.edu,crtsh
,notas.nur.edu,"C=US, O=""Thawte, Inc."", OU=Domain Validated SSL, CN=Thawte DV SSL CA",,,,2013-05-21T23:59:59,notas.nur.edu,crtsh
,reservations.wm.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-09-02T18:06:11,reservationstest.wm.edu;reservations.wm.edu,crtsh
,sakai.apu.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-09-06T23:59:59,sakai.apu.edu,crtsh
,*.moodle.wisc.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-11-02T23:59:59,*.moodle.wisc.edu,crtsh
,e-academy.cccs.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 International Server CA - G3",,,,2013-06-25T23:59:59,e-academy.cccs.edu,crtsh
,grad.etsu.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-07-09T16:15:34,grad.etsu.edu;www.grad.etsu.edu,crtsh
,webmail.ncpcollegeofnursing.edu,"C=US, O=""Thawte, Inc."", OU=Domain Validated SSL, CN=Thawte DV SSL CA",,,,2013-06-19T23:59:59,webmail.ncpcollegeofnursing.edu,crtsh
,connect.biola.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-04-25T23:59:59,connect.biola.edu,crtsh
,gear.gsb.columbia.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-04-24T23:59:59,gear.gsb.columbia.edu,crtsh
,encore.unk.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-10-27T10:59:52,encore.unk.edu,crtsh
,ecampus.scu.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-08-17T23:59:59,ecampus.scu.edu;www.ecampus.scu.edu,crtsh
,blackboard.uthsc.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-11-01T21:22:17,blackboard.uthsc.edu;www.blackboard.uthsc.edu,crtsh
,policy.kennesaw.edu,"C=US, O=""Entrust, Inc."", OU=www.entrust.net/rpa is incorporated by reference, OU=""(c) 2009 Entrust, Inc."", CN=Entrust Certification Authority - L1C",,,,2013-07-26T02:20:21,policy.kennesaw.edu,crtsh
,jobs.lmu.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-12-17T12:00:00,jobs.lmu.edu,crtsh
,apps.uabgrid.uab.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-10-02T22:37:04,apps.uabgrid.uab.edu,crtsh
,econnect.actx.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)06, CN=VeriSign Class 3 Extended Validation SSL SGC CA",,,,2013-03-29T23:59:59,econnect.actx.edu,crtsh
,mail.regiscollege.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-06-22T09:11:22,autodiscover.ad.regiscollege.edu;autodiscover.exchange.regiscollege.edu;autodiscover.regiscollege.edu;legacy.ad.regiscollege.edu;legacy.exchange.regiscollege.edu;legacy.regiscollege.edu;mail.regiscollege.edu;voicemail.regiscollege.edu,crtsh
,owa.eecs.berkeley.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-12-14T23:59:59,owa.eecs.berkeley.edu;www.owa.eecs.berkeley.edu,crtsh
,cardinals.uiwtx.edu,"C=US, O=""GeoTrust, Inc."", CN=RapidSSL CA",,,,2013-04-07T07:22:53,cardinals.uiwtx.edu,crtsh
,secure.wuphysicians.wustl.edu,"C=US, O=GeoTrust Inc., OU=Domain Validated SSL, CN=GeoTrust DV SSL CA",,,,2013-05-24T01:04:40,secure.wuphysicians.wustl.edu,crtsh
,banweb7.nmt.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-09-07T23:59:59,banweb7.nmt.edu,crtsh
,rt.hcl.harvard.edu,"C=US, O=""Thawte, Inc."", OU=Domain Validated SSL, CN=Thawte DV SSL CA",,,,2013-04-14T23:59:59,rt.hcl.harvard.edu,crtsh
,www.dce.ndsu.nodak.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-04-25T22:12:04,dce.ndsu.nodak.edu;Distance and Continuing Education;www.dce.ndsu.nodak.edu,crtsh
,class.adelphi.edu,"C=US, O=""Entrust, Inc."", OU=www.entrust.net/rpa is incorporated by reference, OU=""(c) 2009 Entrust, Inc."", CN=Entrust Certification Authority - L1C",,,,2013-04-13T22:54:28,class.adelphi.edu,crtsh
,extranet.edmc.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-11-10T23:59:59,Education Management Corporation;extranet.edmc.edu,crtsh
,adfs.directory.vccs.edu,"C=US, O=""Entrust, Inc."", OU=www.entrust.net/rpa is incorporated by reference, OU=""(c) 2009 Entrust, Inc."", CN=Entrust Certification Authority - L1C",,,,2013-06-06T12:57:17,adfs.directory.vccs.edu,crtsh
,foxmail.marist.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-08-11T12:20:22,foxmail.marist.edu,crtsh
,app.gradschool.sc.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-06-07T23:59:59,app.gradschool.sc.edu,crtsh
,www.catherinehinds.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-04-10T11:50:00,catherinehinds.edu;www.catherinehinds.edu,crtsh
,admtn.ucsadm.oregonstate.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-08-20T23:59:59,admtn.ucsadm.oregonstate.edu,crtsh
,ldap.simmons.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-11-17T14:15:53,ldap.simmons.edu,crtsh
,webmail.harpercollege.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 International Server CA - G3",,,,2013-12-29T23:59:59,autodiscover.harpercollege.edu;webmail.harpercollege.edu,crtsh
,dm.its.msstate.edu,"C=IL, O=StartCom Ltd., OU=Secure Digital Certificate Signing, CN=StartCom Class 1 Primary Intermediate Server CA",,,,2013-04-03T13:32:06,dm.its.msstate.edu;msstate.edu;ssladmin@msstate.edu,crtsh
,sduis.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-09-23T22:50:53,sduis.edu;www.sduis.edu,crtsh
,www.aes.du.edu,"C=US, O=GeoTrust Inc., OU=Domain Validated SSL, CN=GeoTrust DV SSL CA",,,,2013-12-31T05:48:02,www.aes.du.edu,crtsh
,support.mnstate.edu,"C=US, ST=UT, L=Salt Lake City, O=The USERTRUST Network, OU=http://www.usertrust.com, CN=UTN-USERFirst-Hardware",,,,2013-12-19T23:59:59,support.mnstate.edu;www.support.mnstate.edu,crtsh
,hypprod.umd.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-08-30T12:00:00,hypprod.umd.edu,crtsh
,s012.med.cornell.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-10-12T23:59:59,s012.med.cornell.edu,crtsh
,sopstudentapplication.rockefeller.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-10-08T23:59:59,sopstudentapplication.rockefeller.edu;www.sopstudentapplication.rockefeller.edu,crtsh
,pathway.clovis.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-08-24T23:59:59,pathway.clovis.edu,crtsh
,calendar.exeter.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-06-25T23:59:59,calendar.exeter.edu,crtsh
,status.its.umich.edu,"C=US, ST=UT, L=Salt Lake City, O=The USERTRUST Network, OU=http://www.usertrust.com, CN=UTN-USERFirst-Hardware",,,,2013-11-17T23:59:59,status.its.umich.edu;www.status.its.umich.edu,crtsh
,accesopionero.pucpr.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SGC CA - G2",,,,2013-07-02T23:59:59,accesopionero.pucpr.edu,crtsh
,jics.salus.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-12-15T15:49:05,jics.salus.edu;www.jics.salus.edu,crtsh
,library.law.suffolk.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-07-15T19:57:34,0-18115.lip.e-content.duden-business.com.library.law.suffolk.edu;0-access.oxfordjournals.org.library.law.suffolk.edu;0-apps.fastcase.com.library.law.suffolk.edu;0-apps.isiknowledge.com.library.law.suffolk.edu;0-awrd.morningstar.com.library.law.suffolk.edu;0-checkpoint.riag.com.library.law.suffolk.edu;0-isiknowledge.com.library.law.suffolk.edu;0-jump.valueline.com.library.law.suffolk.edu;0-origin-scifinder.cas.org.library.law.suffolk.edu;0-portal.eiu.com.library.law.suffolk.edu;0-scifinder.cas.org.library.law.suffolk.edu;0-secure.bizjournals.com.library.law.suffolk.edu;0-site.ebrary.com.library.law.suffolk.edu;0-ulrichsweb.serialssolutions.com.library.law.suffolk.edu;0-www.bioone.org.library.law.suffolk.edu;0-www.bizjournals.com.library.law.suffolk.edu;0-www.ciaonet.org.library.law.suffolk.edu;0-www.fastcase.com.library.law.suffolk.edu;0-www.jstor.org.library.law.suffolk.edu;0-www.refworks.com.library.law.suffolk.edu;0-www.sciencedirect.com.library.law.suffolk.edu;0-www.tandfonline.com.library.law.suffolk.edu;library.law.suffolk.edu;m.library.law.suffolk.edu,crtsh
,www.as.miami.edu,"C=US, O=""Entrust, Inc."", OU=www.entrust.net/rpa is incorporated by reference, OU=""(c) 2009 Entrust, Inc."", CN=Entrust Certification Authority - L1C",,,,2013-08-20T23:52:17,www.as.miami.edu,crtsh
,*.ecpi.edu,"C=US, O=Network Solutions L.L.C., CN=Network Solutions Certificate Authority",,,,2013-08-27T23:59:59,*.ecpi.edu,crtsh
,iisapps.clcillinois.edu,"C=US, O=GeoTrust Inc., OU=Domain Validated SSL, CN=GeoTrust DV SSL CA",,,,2013-10-03T04:12:17,iisapps.clcillinois.edu,crtsh
,lms.scranton.edu,"C=US, O=""Entrust, Inc."", OU=AND ADDITIONAL TERMS GOVERNING USE AND RELIANCE, OU=CPS CONTAINS IMPORTANT LIMITATIONS OF WARRANTIES AND LIABILITY, OU=www.entrust.net/CPS is incorporated by reference, OU=""(c) 2008 Entrust, Inc."", CN=Entrust Certification Authority - L1B",,,,2013-07-01T23:16:56,lms.scranton.edu,crtsh
,blackboard.wccnet.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-07-28T20:50:02,blackboard8.wccnet.edu;blackboard9-dev2.wccnet.edu;blackboard9-dev3.wccnet.edu;blackboard9-dev.wccnet.edu;blackboard9.wccnet.edu;blackboard.wccnet.edu,crtsh
,international.lsu.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-10-09T23:59:59,international.lsu.edu,crtsh
,cv.uoc.edu,"C=NL, O=TERENA, CN=TERENA SSL CA",,,,2013-07-13T23:59:59,cv.uoc.edu,crtsh
,alumni.bowdoin.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-08-02T23:59:59,alumni.bowdoin.edu,crtsh
,*.lenoircc.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-03-23T23:59:59,*.lenoircc.edu;lenoircc.edu,crtsh
,blogs.butler.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-08-09T16:59:13,blogs.butler.edu,crtsh
,ess.rutgers.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-08-08T23:59:59,ess.rutgers.edu,crtsh
,*.carlow.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-12-01T23:59:59,*.carlow.edu,crtsh
,www.southernfirellc.com,"C=IL, O=StartCom Ltd., OU=Secure Digital Certificate Signing, CN=StartCom Class 1 Primary Intermediate Server CA",,,,2013-09-13T12:38:18,k.fab@aggiemail.usu.edu,crtsh
,csyou.calstate.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO Extended Validation Secure Server CA",,,,2013-11-09T23:59:59,csyou.calstate.edu,crtsh
,nac.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-11-11T22:48:11,nac.edu;www.nac.edu,crtsh
,private.www.umich.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-07-13T23:59:59,private.www.umich.edu,crtsh
,facultyopportunities.depaul.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-08-28T12:00:00,facultyopportunities.depaul.edu,crtsh
,www.bookstore.brrice.edu,"C=US, O=""GeoTrust, Inc."", CN=RapidSSL CA",,,,2013-08-14T04:32:47,www.bookstore.brrice.edu,crtsh
,secure.umm.edu,"C=US, O=""Entrust, Inc."", OU=www.entrust.net/rpa is incorporated by reference, OU=""(c) 2009 Entrust, Inc."", CN=Entrust Certification Authority - L1C",,,,2013-03-22T04:27:44,secure.umm.edu,crtsh
